row,sen_number,participant
114,2024SIR0005779,Stewart Detention Center (SDC)
115,2024SIR0005802,ERO Miami
115,2024SIR0005802,Krome Service Processing Center (KSPC)
115,2024SIR0005802,ICE Health Service Corps (IHSC)
116,2024SIR0005798,ERO San Antonio
116,2024SIR0005798,South Texas ICE Processing Center (STIPC)
116,2024SIR0005798,ICE Health Service Corps (IHSC)
117,2024SIR0005855,ERO Philadelphia
117,2024SIR0005855,Moshannon Valley Processing Center (MVPC)
118,2024SIR0005872,ERO Phoenix
118,2024SIR0005872,ICE Health Service Corps (IHSC)
118,2024SIR0005872,Eloy Detention Center (EDC)
119,2024SIR0005973,ERO Atlanta
119,2024SIR0005973,Stewart Detention Center (SDC)
120,2024SIR0005949,ERO Buffalo
120,2024SIR0005949,Buffalo Federal Detention Facility (BFDF)
120,2024SIR0005949,ICE Health Service Corps (IHSC)
121,2024SIR0005927,ERO Los Angeles
121,2024SIR0005927,Desert View Facility (DVF)
122,2024SIR0006091,ERO Buffalo
122,2024SIR0006091,Buffalo Federal Detention Facility (BFDF)
122,2024SIR0006091,ICE Health Service Corps (IHSC)
123,2024SIR0006108,ERO Miami
123,2024SIR0006108,Krome Service Processing Center (KSPC)
123,2024SIR0006108,ICE Health Service Corps (IHSC)
124,2024SIR0006107,ERO Salt Lake
124,2024SIR0006107,Nye County Detention Center (NCDC)
124,2024SIR0006107,Nye County Sheriff's Department (NCSD)
125,2024SIR0006208,ERO Seattle
125,2024SIR0006208,ICE Health Service Corps (IHSC)
125,2024SIR0006208,Northwest ICE Processing Center (NWPIC)
126,2024SIR0011909,ERO Miami
126,2024SIR0011909,Broward Transitional Center (BTC)
127,2024SIR0011880,ERO Philadelphia
127,2024SIR0011880,Moshannon Valley Processing Center (MVPC)
128,2024SIR0011980,ERO San Antonio
128,2024SIR0011980,South Texas ICE Processing Center (STIPC)
129,2024SIR0012025,ERO Atlanta
129,2024SIR0012025,Stewart Detention Center (SDC)
130,2024SIR0012009,ERO Miami
130,2024SIR0012009,ICE Health Service Corps (IHSC)
130,2024SIR0012009,Krome Service Processing Center (KSPC)
131,2024SIR0012001,ERO Philadelphia
131,2024SIR0012001,Moshannon Valley Processing Center (MVPC)
132,2024SIR0012064,ERO Philadelphia
132,2024SIR0012064,Moshannon Valley Processing Center (MVPC)
133,2024SIR0012127,ERO Phoenix
133,2024SIR0012127,ICE Health Service Corps (IHSC)
133,2024SIR0012127,Eloy Detention Center (EDC)
134,2024SIR0012176,ERO Harlingen
134,2024SIR0012176,El Valle Detention Facility (EVDF)
135,2024SIR0012177,ERO San Antonio
135,2024SIR0012177,Karmes County Immigration Processing Center (KCIPC)
136,2024SIR0012254,ERO San Diego
136,2024SIR0012254,Imperial Regional Detention (ICSO)
137,2024SIR0012255,ERO San Diego
137,2024SIR0012255,Imperial Regional Detention (ICSO)
137,2024SIR0012255,ICE Health Service Corps (IHSC)
137,2024SIR0012255,Paradise Valley Hospital (PVH)
138,2024SIR0012284,ERO San Diego
138,2024SIR0012284,Imperial Regional Detention (ICSO)
138,2024SIR0012284,ICE Health Service Corps (IHSC)
139,2024SIR0012367,ERO Atlanta
139,2024SIR0012367,Stewart Detention Center (SDC)
140,2024SIR0012406,ERO Dallas
140,2024SIR0012406,Prairieland Detention Center (PDC)
141,2024SIR0012378/2024SIR0012377,ERO San Antonio
141,2024SIR0012378/2024SIR0012377,South Texas ICE Processing Center (STIPC)
141,2024SIR0012378/2024SIR0012377,ICE Health Service Corps (IHSC)
142,2024SIR0012410,ERO Washington
142,2024SIR0012410,ICE Health Service Corps (IHSC)
